"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1770661789359075744","Thu Mar 21 04:01:08 +0000 2024","0","Mau iu casting news tp kaya ga mungkin","1770661898473918534","","blueming_day","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1770661898473918534","1132271747519008768","blueming_day"
"1770429130225664094","Wed Mar 20 14:17:48 +0000 2024","1","@kdrama_menfess Kangen banget lagu iniii dan hapal pula ada di spotify gak sih? Lagu IU someday aja susah ","1770454701630513375","","kdrama_menfess","in","","0","1","1","https://twitter.com/chaeunnisy/status/1770454701630513375","1278706640397561858","chaeunnisy"
"1770095560407871908","Tue Mar 19 15:01:08 +0000 2024","0","@momokachiii Bukan kak tiktokers yg nyontek iu dari wajah smpe style nya ","1770103216489066617","","momokachiii","in","dnf if you hate my faves ","0","0","0","https://twitter.com/blueming_day/status/1770103216489066617","1132271747519008768","blueming_day"
"1770095560407871908","Tue Mar 19 14:42:17 +0000 2024","0","@blueming_day ini bukan iu ??","1770098474987733491","","blueming_day","in","","0","1","0","https://twitter.com/momokachiii/status/1770098474987733491","1404346062731563008","momokachiii"
"1770085121036886431","Tue Mar 19 13:58:07 +0000 2024","0","@kucingkepoan IU stagenya bulet tok ","1770087358219886816","","kucingkepoan","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1770087358219886816","1132271747519008768","blueming_day"
"1770085121036886431","Tue Mar 19 13:49:14 +0000 2024","0","Wow standing semua Tp ini stagenya bagus loh dri pd iu","1770085121036886431","","","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1770085121036886431","1132271747519008768","blueming_day"
"1769735990699258344","Mon Mar 18 15:59:53 +0000 2024","0","@kdrama_menfess IU jd kembang desa di goryeo bnyk yg sukaa wkwk tonton aja nder lucu kok dramanya ","1769755612685173082","","kdrama_menfess","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1769755612685173082","1132271747519008768","blueming_day"
"1769745607223283764","Mon Mar 18 15:27:49 +0000 2024","0","@blueming_day Tapi emang ih mba IU as Jang Manwol tuh the best bangettt dari segi akting plot dramanya sampe fashion tuh aku suka bangetttt","1769747542424891458","","blueming_day","in","","0","1","0","https://twitter.com/younbluu/status/1769747542424891458","1584688564935147520","younbluu"
"1769745607223283764","Mon Mar 18 15:20:07 +0000 2024","8","Aku tiap buka pinterest gabisa berhenti nyimpenin foto2 iu as jang manwol KARNA CANTIK MAMPUS YAALLAH KOK BISAAA https://t.co/Z3uUCP0EO6","1769745607223283764","https://pbs.twimg.com/media/GI9mPnGbgAAfmu9.jpg","","in","dnf if you hate my faves ","0","4","0","https://twitter.com/blueming_day/status/1769745607223283764","1132271747519008768","blueming_day"
"1769270066292634091","Sun Mar 17 07:51:11 +0000 2024","0","Saya menemukan template mengagumkan ini di CapCut. Ketuk tautan untuk mencobanya! https://t.co/pdcqM5CZvQ Blueming IU","1769270239253135572","","withtwsai","in","남 아니야 || 빵또즈 한류즈 미니후니","0","0","0","https://twitter.com/withtwsai/status/1769270239253135572","1675461876577353728","withtwsai"
"1769048500506137087","Sat Mar 16 17:10:04 +0000 2024","0","SOHEE KAMU ADA APA NAK??? CERITA SAMA KAKAK SINI. BARU PLAY UDAH DIKASIH SOMEDAY. YA ALLAH LAGU FAV GUE DARI SD HUHU KAYAK SEMUA LAGU IU GUE AKAN PILIH SOMEDAY TETEP. https://t.co/D7sBviU94d","1769048500506137087","https://pbs.twimg.com/media/GIzsOOsakAAu-TA.jpg","","in","","0","1","0","https://twitter.com/murkleechan/status/1769048500506137087","99141360","murkleechan"
"1769012294934220905","Sat Mar 16 14:46:48 +0000 2024","0","mana lagu pertama lagu IU - someday makin ambyarr","1769012445056749842","","janah6698","in","Jakarta","0","0","0","https://twitter.com/janah6698/status/1769012445056749842","419346763","janah6698"
"1768976273743970328","Sat Mar 16 12:23:04 +0000 2024","0","Riiply IU SOMEDAY wkwkwk","1768976273743970328","","","in","","0","0","0","https://twitter.com/newsfrompotato/status/1768976273743970328","1085513109643509761","newsfrompotato"
"1768972931294724559","Sat Mar 16 12:09:47 +0000 2024","0","INI TU PREDEBUTTRTT pas tgl 31 juli apa ya tgl brp pokoknya yg nyanyi iu someday bertujuh https://t.co/fcTnyQj5ZZ","1768972931294724559","https://pbs.twimg.com/media/GIyngOeaMAAinkz.jpg","","in","Live Laugh Love 넨또","0","0","0","https://twitter.com/ooohssuldae/status/1768972931294724559","1572608176025128961","ooohssuldae"
"1768972527727235323","Sat Mar 16 12:08:11 +0000 2024","0","lagu pertama langsung someday by iu hahaha ajg nangis aja apa ya langsung keinget seunghan https://t.co/P2GCDA07pU","1768972527727235323","https://pbs.twimg.com/media/GIynI6vbQAAcHqF.jpg","","in","(💌) pub-rant.ᐟ rockstarsbin","1","2","0","https://twitter.com/ballerinabluu/status/1768972527727235323","1164364736017756160","ballerinabluu"
"1768946436929204484","Sat Mar 16 10:24:30 +0000 2024","1","Referensi style nya dari iu kah baek ","1768946436929204484","","","in","dnf if you hate my faves ","0","0","0","https://twitter.com/blueming_day/status/1768946436929204484","1132271747519008768","blueming_day"
"1768640377278607408","Fri Mar 15 14:09:42 +0000 2024","0","@jieunlostsister Tolong bgt stylist konser harus liat ini!! IU pake aksesoris tuh cantik pooollll","1768640723610669274","","jieunlostsister","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1768640723610669274","1132271747519008768","blueming_day"
"1768580164257280119","Fri Mar 15 10:09:04 +0000 2024","0","IU lg fansign kah ini tu?","1768580164257280119","","","in","dnf if you hate my faves ","0","0","0","https://twitter.com/blueming_day/status/1768580164257280119","1132271747519008768","blueming_day"
"1768579669455192372","Fri Mar 15 10:07:06 +0000 2024","0","IU LONG-RED HAIR CANTIK BGTTTT","1768579669455192372","","","in","dnf if you hate my faves ","0","0","0","https://twitter.com/blueming_day/status/1768579669455192372","1132271747519008768","blueming_day"
"1768298025779429756","Thu Mar 14 15:27:57 +0000 2024","0","ehh Someday masuk setlist IU hwaa","1768298025779429756","","","in","","0","0","0","https://twitter.com/yur4ndo/status/1768298025779429756","1435246293903839237","yur4ndo"
"1767915390620107206","Wed Mar 13 14:07:30 +0000 2024","0","untuk sekarang ini lagi on repeat IU - Someday setiap lagi belajar soalnya lagi exam season nih ‍","1767915390620107206","","","in","","0","0","0","https://twitter.com/sweetnessofjune/status/1767915390620107206","1725502364797591552","sweetnessofjune"
"1767798655837167667","Wed Mar 13 06:39:05 +0000 2024","0","Awal2 bucin IU gara2 hotel del luna 2019 Yg ini pake akun kedua buat ngefangirl https://t.co/ynjtpFItR2","1767802544921682018","https://pbs.twimg.com/media/GIh_CeNbIAADgj_.jpg","blueming_day","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1767802544921682018","1132271747519008768","blueming_day"
"1767550125449351641","Tue Mar 12 21:38:20 +0000 2024","0","@blueming_day Padahal IU kan juga ada peioritasnya sendiri as idol. Suka-suka dia lah ya mau take atau ngga suatu project. Hadeeeh. Kesel banget aku sama haters IU. Iri bilanggg.","1767666460544131137","","blueming_day","in","","0","1","0","https://twitter.com/choecolat/status/1767666460544131137","1342745936171175936","choecolat"
"1767550125449351641","Tue Mar 12 14:48:16 +0000 2024","0","@blueming_day Yg drama terbaru apa gimana ? Padahal ada alasan kali IU ga bisa ambil peran ya aneh deh haters ckck","1767563263888486407","","blueming_day","in","","0","1","0","https://twitter.com/kimyoolee11/status/1767563263888486407","1431825887985496068","kimyoolee11"
"1767550125449351641","Tue Mar 12 14:42:42 +0000 2024","0","@kimyoolee11 Bukan kak yg iu gak jd ambil peran qot. Jd bnyk yg remehin iu dan nuduh ini itu","1767561863850762746","","kimyoolee11","in","dnf if you hate my faves ","1","1","0","https://twitter.com/blueming_day/status/1767561863850762746","1132271747519008768","blueming_day"
"1767550125449351641","Tue Mar 12 13:56:04 +0000 2024","1","Haters iu dri indo tuh terang2an bgt ya kalo segasuka itu sma iu dan ngajak cari massa","1767550125449351641","","","in","dnf if you hate my faves ","0","5","0","https://twitter.com/blueming_day/status/1767550125449351641","1132271747519008768","blueming_day"
"1767156178952523958","Mon Mar 11 11:50:39 +0000 2024","0","Liat iu encore someday penyesalan gua ga beli tiket konsernya naik 10000000x lipat","1767156178952523958","","","in","","0","0","0","https://twitter.com/jwonwoohoo/status/1767156178952523958","873571676537053184","jwonwoohoo"
"1767057433837580717","Mon Mar 11 05:18:17 +0000 2024","0","Kata gue mah yg nntn iu di bsd nanti teriakin minta encore lagu someday dah https://t.co/Uvxqsn6b75","1767057433837580717","https://pbs.twimg.com/ext_tw_video_thumb/1766794471168233472/pu/img/g_WssmrAvZLMOxuV.jpg","","in","she_her","1","0","0","https://twitter.com/chocozips/status/1767057433837580717","1261677927365664768","chocozips"
"1767031322869182944","Mon Mar 11 03:34:31 +0000 2024","0","knees - IU breathe - lee hi sama yoyok","1767031322869182944","","","in","","0","0","0","https://twitter.com/strawbrine/status/1767031322869182944","1678247190958047233","strawbrine"
"1766772360236105889","Mon Mar 11 01:41:34 +0000 2024","0","@kucingkepoan Smg bisa datengin konser iu di korea ya kita","1767002894446854180","","kucingkepoan","in","dnf if you hate my faves ","0","1","0","https://twitter.com/blueming_day/status/1767002894446854180","1132271747519008768","blueming_day"
"1766943912932127027","Sun Mar 10 21:47:11 +0000 2024","0","Pengen karoke Someday sama IU langsung ","1766943912932127027","","","in","","0","0","0","https://twitter.com/syiqfa/status/1766943912932127027","877799883624792064","syiqfa"
